cntr_grnds_dstnc,frstn_grnds_dstnc,hr_unit_artmp,hr_unit_hum,hr_unit_wspd_info,growing_stock,forest_ratio,avg_growing_stock,t2m_mean_c,t2m_min_c,t2m_max_c,d2m_mean_c,d2m_min_c,d2m_max_c,u10_mean_ms,v10_mean_ms,wind_speed_mean,wind_dir_deg,tp_sum_mm,pev_sum_mm,ssrd_sum_jm2,ssrd_sum_mjm2,impute_radius,land,arrival_time_diff,dispatch_time_diff,golden_time_under_50min,is_night,month_rcpt,dspt_req_hr,fire_supesn_hr,ctpv_nm_gangwon,ctpv_nm_gyeonggi,ctpv_nm_gyeongnam,ctpv_nm_gyeongbuk,ctpv_nm_gwangju,ctpv_nm_daegu,ctpv_nm_daejeon,ctpv_nm_busan,ctpv_nm_seoul,ctpv_nm_sejong,ctpv_nm_ulsan,ctpv_nm_incheon,ctpv_nm_jeonnam,ctpv_nm_jeonbuk,ctpv_nm_jeju,ctpv_nm_chungnam,ctpv_nm_chungbuk,fclt_plc_sclsf_nm_public,fclt_plc_sclsf_nm_national,fclt_plc_sclsf_nm_private,fnd_igtn_pstn_nm_unknown,fnd_igtn_pstn_nm_under,fnd_igtn_pstn_nm_top,fnd_igtn_pstn_nm_middle,fnd_igtn_pstn_nm_plain,wndrct_brng_NONE,wndrct_brng_south,wndrct_brng_southeast,wndrct_brng_southwest,wndrct_brng_east,wndrct_brng_north,wndrct_brng_northeast,wndrct_brng_northwest,wndrct_brng_west
1.6094379124341005,2.4849066497880004,-1.0,39.0,1,30500,22.81,81.77,-3.034901857376098,-5.790863037109375,0.354644775390625,-13.517276763916016,-15.050994873046877,-11.266448974609377,2.9434926509857178,-1.980741500854492,3.547884702682495,303.93748489975826,0.0146281116272231,-112.53216552734376,240171392.0,240.17138671875,0,1635.0,5.823045895483019,4.5217885770490405,1,1,1,1.8732454942989716,7.277247726631484,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.0986122886681098,1.6094379124341005,5.0,60.0,1,30500,22.81,81.77,4.081675052642822,-0.366790771484375,9.089263916015623,1.0711873769760132,-0.671234130859375,2.586090087890625,1.8944727182388303,0.6574738025665283,2.0053176879882812,250.86074869032132,2.825913822523337,-81.70909881591797,277586976.0,277.58697509765625,0,1635.0,5.676753802268282,3.6635616461296463,1,1,3,1.8775294779444245,6.74993119378857,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.791759469228055,2.302585092994046,7.0,49.0,1,30500,22.81,81.77,5.162099361419678,0.126861572265625,10.189605712890623,0.596282958984375,-3.089935302734375,3.327789306640625,1.9583021402359009,-1.0828382968902588,2.237741231918335,298.94029070958123,0.7883394662648763,-96.28070831298828,312114496.0,312.114501953125,0,1635.0,6.517671272912275,3.5263605246161616,1,1,3,2.0105868828871887,7.650168700845001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.0986122886681098,1.791759469228055,0.3,48.0,3,512610,70.18,148.11,3.929311037063598,-0.390960693359375,8.113189697265625,-6.414835453033447,-7.822845458984375,-2.197357177734375,2.9462764263153076,-2.6421120166778564,3.9574360847473145,311.8845833213007,0.0971119497099901,-189.0777587890625,436829120.0,436.8291320800781,0,4931.0,6.456769655572163,4.07753744390572,1,0,3,1.9962368841455096,7.653494909661253,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2.3978952727983707,3.295836866004329,-8.7,36.0,5,9313181,78.6,179.32,-5.911773681640625,-7.743499755859375,-2.876556396484375,-18.350004196166992,-23.731521606445312,-10.032562255859377,4.143709182739258,1.1132121086120603,4.290637016296387,254.96248321773612,0.1155878459583971,-74.99333190917969,207584064.0,207.5840606689453,0,66075.0,6.810142450115136,3.49650756146648,1,1,12,2.050813631392442,9.638153883748108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2.1972245773362196,3.367295829986474,2.3,38.0,1,8785791,68.4,169.43,0.6039021611213684,-1.515716552734375,4.275543212890625,-9.943470001220703,-11.277191162109377,-8.717864990234375,3.026677370071411,-2.544152021408081,3.953920364379883,310.0495994798308,1.1824804868907692,-99.72331237792967,222952688.0,222.9526824951172,0,75814.0,6.639875833826536,5.298317366548036,1,0,12,1.9931472818006903,9.92250555837189,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2.0794415416798357,1.791759469228055,-2.9,36.0,5,15470324,79.42,187.17,-4.076141357421875,-5.957366943359375,-1.826995849609375,-16.565488815307617,-20.880615234375,-8.633636474609375,4.977663040161133,0.840039074420929,5.048048496246338,260.4209230691531,0.0828062192730138,-73.99588775634766,212325568.0,212.3255615234375,0,104078.0,6.53813982376767,3.737669618283368,1,1,12,2.011827945727636,8.872487182278038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2.5649493574615367,3.1780538303479458,-1.2,89.0,1,3118375,37.0,138.52,0.3283894956111908,-2.025970458984375,2.273345947265625,-5.746798038482666,-6.86456298828125,-4.4306640625,1.8283201456069944,-2.6474077701568604,3.2173781394958496,325.3707435453364,2.45010992085465,-45.734596252441406,103968464.0,103.96846771240234,0,60837.0,6.102558594613569,1.9459101490553132,1,0,1,1.9585506171458116,8.870522545103873,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.6931471805599453,2.1972245773362196,10.2,35.0,1,157865,33.93,173.48,6.361328125,3.398345947265625,10.122711181640623,-0.4504496157169342,-1.708587646484375,1.752105712890625,2.36139178276062,-3.2414541244506836,4.010385990142822,323.92674912929164,0.0039718289941464,-69.11946105957031,203986160.0,203.9861602783203,0,2682.0,5.966146739123692,4.343805421853684,1,0,12,1.90945257282708,5.749392985908253,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2.772588722239781,3.1780538303479458,12.9,26.0,1,7569761,70.96,135.53,4.241465091705322,-0.083587646484375,9.690826416015623,-2.5690410137176514,-3.643646240234375,-0.958587646484375,-0.1565891951322555,-1.235790491104126,1.2456718683242798,7.221563989517392,0.065769898721836,-124.40930938720705,189268976.0,189.26898193359375,0,78705.0,7.066466970136958,3.044522437723423,1,0,12,2.0855795208423245,8.793156870913819,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
