DSPT_REQ_HR,FIRE_SUPESN_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,FCLT_PLC_SCLSF_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM,golden_time_under_50min,arrival_time_diff,is_night,month_rcpt,dispatch_time_diff
711,4490,0,152,9,7,9.0,2,2,1,14.7,2.0,7,34.0,1,793.0,0,5,82.0
368,2592,0,152,13,8,3.0,2,2,4,4.0,-1.0,8,19.0,1,390.0,0,1,22.0
420,5327,16,192,30,23,7.0,2,2,0,13.3,2.0,3,59.0,1,493.0,1,5,73.0
300,2730,16,192,22,25,3.0,1,1,3,18.1,2.0,3,40.0,1,366.0,0,4,66.0
397,4648,0,152,20,2,-1.0,2,2,1,-1.8,2.0,7,65.0,1,459.0,0,1,62.0
361,2227,0,152,22,5,-1.0,2,2,1,-13.3,2.0,7,20.0,1,500.0,1,1,139.0
303,1228,0,152,5,5,-1.0,2,2,1,11.1,2.0,2,26.0,1,374.0,0,3,71.0
298,1920,16,194,18,3,-1.0,2,2,1,10.6,2.0,7,45.0,1,478.0,0,3,180.0
1779,1652,0,4,29,17,-1.0,2,2,3,5.7,6.5,8,28.0,1,1855.0,0,3,76.0
700,2430,16,194,10,6,-1.0,2,2,1,10.0,2.0,7,60.0,1,831.0,0,2,131.0
269,2840,16,197,5,1,-1.0,2,2,4,12.0,2.0,8,22.0,1,327.0,0,4,58.0
1047,3968,0,67,18,13,8.0,2,2,1,10.0,2.0,2,37.0,1,1163.0,0,1,116.0
273,731,16,197,5,3,-1.0,2,2,4,0.0,2.0,7,45.0,1,323.0,0,1,50.0
1171,580,3,11,6,4,-1.0,2,2,0,29.5,2.0,8,28.0,1,1238.0,0,6,67.0
1080,7516,3,151,13,13,-1.0,2,2,1,7.5,2.0,3,14.0,1,1162.0,0,1,82.0
1290,6562,3,151,33,33,10.0,2,2,1,11.3,2.0,1,81.0,1,1290.0,0,3,0.0
351,1358,3,151,36,5,1.0,2,2,0,4.7,2.0,8,55.0,1,381.0,0,3,30.0
118,1588,3,151,38,0,-1.0,2,2,1,-1.9,2.0,3,30.0,1,171.0,1,1,53.0
499,5322,2,119,17,3,-1.0,2,2,3,11.9,2.0,1,0.0,1,551.0,0,3,52.0
815,1559,2,119,10,10,-1.0,2,2,1,12.7,2.0,4,0.0,1,1063.0,0,4,248.0
244,2880,3,157,19,3,-1.0,2,2,1,18.9,2.0,7,19.0,1,244.0,0,4,0.0
702,2745,3,37,15,9,-1.0,2,2,1,5.7,2.0,5,24.0,1,785.0,0,1,83.0
1231,12408,3,37,41,10,7.0,2,2,1,3.0,2.0,7,43.0,1,1303.0,0,1,72.0
692,6300,3,198,5,5,-1.0,2,2,3,21.5,6.5,1,24.0,1,692.0,0,3,0.0
539,46324,3,157,20,20,6.0,2,2,1,18.1,2.0,8,20.0,1,589.0,0,3,50.0
154,5761,3,207,5,1,-1.0,2,2,1,19.8,6.5,3,14.0,1,186.0,0,4,32.0
260,342,3,207,2,0,-1.0,2,2,1,4.6,2.0,7,21.0,1,302.0,0,1,42.0
850,1708,3,207,13,6,-1.0,2,2,3,9.0,2.0,3,15.0,1,880.0,0,1,30.0
557,1569,3,207,17,9,5.0,2,2,1,11.9,6.5,5,25.0,1,647.0,0,3,90.0
571,13807,3,198,4,25,-1.0,2,2,2,-7.5,2.0,6,44.0,1,626.0,1,1,55.0
960,7074,3,198,40,7,-1.0,1,1,3,0.0,-1.0,0,0.0,1,960.0,0,3,0.0
878,2046,3,207,27,12,-1.0,2,2,3,1.0,2.0,4,26.0,1,927.0,0,2,49.0
318,4284,3,12,12,3,-1.0,2,2,1,14.8,2.0,5,23.0,1,412.0,0,3,94.0
393,3588,3,206,8,3,-1.0,2,2,4,8.2,6.5,7,32.0,1,526.0,0,3,133.0
928,1404,3,12,12,10,-1.0,2,2,3,6.8,-1.0,3,32.0,1,972.0,0,2,44.0
2299,4690,3,12,31,13,-1.0,2,2,3,7.4,2.0,0,85.0,1,2472.0,1,4,173.0
584,18120,3,15,5,5,-1.0,2,2,1,-6.3,2.0,2,73.0,1,659.0,1,2,75.0
423,2184,3,15,4,4,-1.0,2,2,1,0.0,-1.0,0,0.0,1,600.0,0,6,177.0
768,101,3,15,12,12,-1.0,2,2,3,0.0,-1.0,0,0.0,1,880.0,0,4,112.0
774,49146,3,130,18,10,-1.0,2,2,3,1.0,2.0,5,50.0,1,839.0,0,1,65.0
459,21840,3,130,18,2,-1.0,2,2,3,1.0,2.0,7,53.0,1,517.0,1,2,58.0
1131,1761,3,139,43,17,-1.0,2,2,0,2.1,2.0,8,25.0,1,1178.0,0,2,47.0
804,2888,3,139,36,10,-1.0,2,2,1,17.1,2.0,3,29.0,1,836.0,0,3,32.0
964,479,3,139,43,17,-1.0,2,2,1,19.0,2.0,1,68.0,1,1033.0,0,4,69.0
1393,5404,3,139,49,12,18.0,0,0,3,0.0,-1.0,0,0.0,1,1461.0,0,3,68.0
714,3736,3,139,22,10,8.0,2,2,1,20.1,2.0,1,25.0,1,822.0,0,4,108.0
225,1106,3,112,2,2,-1.0,2,2,1,18.8,2.0,8,19.0,1,328.0,0,4,103.0
515,4352,3,112,13,10,-1.0,2,2,1,19.5,2.0,8,0.0,1,610.0,0,3,95.0
318,4196,3,112,16,14,6.0,2,2,3,21.6,2.0,2,51.0,1,384.0,1,5,66.0
1209,3342,3,190,55,27,6.0,2,2,3,16.8,2.0,7,58.0,1,1209.0,0,5,0.0
458,5292,3,134,67,12,3.0,0,0,1,3.2,2.0,8,70.0,1,528.0,0,1,70.0
1122,8328,2,178,12,12,-1.0,2,2,1,-0.2,2.0,6,18.0,1,1168.0,1,1,46.0
1815,1960,3,112,33,28,15.0,2,2,1,8.2,6.5,8,29.0,1,1878.0,0,3,63.0
1163,5347,3,134,92,35,19.0,1,1,1,14.7,2.0,1,38.0,1,1239.0,0,5,76.0
441,5602,3,134,78,22,4.0,2,2,4,1.8,2.0,8,27.0,1,525.0,0,1,84.0
202,4195,2,178,18,3,-1.0,0,0,4,-1.0,2.0,7,32.0,1,261.0,1,1,59.0
329,7391,3,35,5,2,-1.0,2,2,3,1.0,6.5,8,17.0,1,513.0,0,2,184.0
254,2526,3,35,6,3,-1.0,2,2,1,11.7,2.0,8,27.0,1,318.0,0,3,64.0
401,2683,3,35,5,2,-1.0,2,2,3,1.0,2.0,8,37.0,1,440.0,0,2,39.0
442,2486,2,178,22,16,3.0,2,2,3,12.5,2.0,8,23.7,1,485.0,0,4,43.0
411,425,2,209,16,4,-1.0,2,2,1,21.8,2.0,4,0.0,1,457.0,0,5,46.0
527,4220,3,136,21,5,-1.0,1,1,2,22.7,2.0,8,45.0,1,591.0,0,5,64.0
2729,10316,3,136,12,10,-1.0,2,2,1,28.3,2.0,7,25.0,1,2809.0,0,5,80.0
650,5901,3,77,38,4,-1.0,2,2,1,3.2,2.0,7,25.0,1,760.0,0,1,110.0
635,3027,3,77,43,9,-1.0,2,2,1,8.9,2.0,1,13.0,1,742.0,0,2,107.0
598,3120,3,136,6,6,-1.0,2,2,3,0.5,2.0,2,0.0,1,807.0,0,1,209.0
1427,12515,3,137,20,20,-1.0,2,2,1,21.1,2.0,1,25.0,1,1478.0,0,4,51.0
688,973,3,137,10,10,-1.0,2,2,3,4.0,2.0,2,38.0,1,752.0,0,1,64.0
799,12800,2,201,15,15,-1.0,2,2,3,7.0,2.0,5,41.0,1,883.0,0,4,84.0
775,2310,2,201,9,9,-1.0,2,2,3,11.4,-1.0,3,64.0,1,911.0,0,3,136.0
663,331,3,137,9,10,-1.0,2,2,4,11.1,2.0,8,16.0,1,872.0,0,3,209.0
923,14686,2,201,27,25,3.0,2,2,0,6.6,2.0,3,43.0,1,1028.0,0,1,105.0
537,7456,3,137,32,7,-1.0,2,2,0,22.6,2.0,5,25.0,1,599.0,0,4,62.0
226,1141,3,137,30,10,-1.0,2,2,1,11.6,2.0,5,0.0,1,318.0,0,3,92.0
1219,1302,3,137,15,0,-1.0,2,2,4,11.7,6.5,7,17.0,1,1291.0,0,3,72.0
886,7821,3,88,13,13,-1.0,2,2,3,19.5,2.0,7,57.0,1,965.0,1,5,79.0
755,3822,2,73,9,8,-1.0,2,2,3,9.9,2.0,2,28.0,1,891.0,0,1,136.0
490,883,3,88,25,5,-1.0,2,2,1,23.8,2.0,2,63.3,1,537.0,0,7,47.0
971,826,3,88,23,10,-1.0,2,2,1,27.3,2.0,8,37.0,1,1009.0,0,5,38.0
798,3696,2,73,13,12,-1.0,2,2,3,19.2,2.0,7,51.0,1,881.0,0,4,83.0
637,4825,3,88,21,4,-1.0,2,2,3,-4.3,2.0,7,36.0,1,711.0,1,1,74.0
630,1211,3,88,22,20,-1.0,2,2,3,15.1,6.5,7,33.0,1,864.0,0,4,234.0
1171,1798,3,88,38,13,-1.0,2,2,1,20.0,-1.0,7,45.6,1,1226.0,0,4,55.0
1896,80,2,73,25,25,-1.0,2,2,1,10.6,2.0,8,0.0,1,1985.0,0,3,89.0
237,2396,2,73,13,2,-1.0,2,2,1,6.1,2.0,8,0.0,1,284.0,0,1,47.0
782,1959,3,88,25,11,7.0,2,2,4,9.8,2.0,7,30.0,1,831.0,0,3,49.0
358,2441,3,72,6,6,6.0,2,2,4,17.9,2.0,2,49.0,1,403.0,0,4,45.0
297,4470,3,72,7,7,-1.0,2,2,2,16.5,2.0,4,64.0,1,501.0,0,4,204.0
658,1473,3,72,17,6,-1.0,1,1,1,-4.8,2.0,4,31.0,1,739.0,1,1,81.0
1193,1779,2,9,15,15,7.0,1,1,2,10.1,2.0,6,58.0,1,1291.0,0,2,98.0
652,11730,2,9,12,12,-1.0,2,2,1,10.0,2.0,1,0.0,1,738.0,0,4,86.0
915,1439,2,9,16,11,5.0,1,1,1,2.0,2.0,2,47.0,1,998.0,0,1,83.0
321,5055,13,161,8,3,-1.0,2,2,3,17.1,2.0,5,42.0,1,351.0,0,3,30.0
514,3251,13,161,12,10,9.0,2,2,0,17.0,2.0,3,25.0,1,574.0,0,4,60.0
286,1860,15,92,6,4,-1.0,2,2,1,17.5,2.0,5,36.0,1,409.0,0,10,123.0
300,1374,15,92,17,4,-1.0,2,2,3,14.6,6.5,5,24.1,1,442.0,0,5,142.0
266,2088,15,92,4,3,-1.0,2,2,1,9.1,6.5,5,47.8,1,338.0,0,3,72.0
652,3759,16,171,19,10,-1.0,2,2,3,19.9,2.0,2,53.8,1,713.0,0,4,61.0
337,2542,16,171,8,5,-1.0,2,2,4,4.6,2.0,3,19.0,1,416.0,0,1,79.0
410,3240,16,132,8,8,-1.0,0,0,1,17.0,2.0,5,12.1,1,454.0,0,3,44.0
486,8987,16,171,43,37,7.0,0,0,1,9.3,2.0,7,0.0,1,527.0,0,2,41.0
596,691,15,54,16,12,-1.0,2,2,4,17.7,2.0,8,42.2,1,596.0,0,4,0.0
299,10327,16,132,5,5,-1.0,2,2,1,19.6,2.0,8,19.0,1,380.0,0,5,81.0
1347,2709,15,39,40,0,-1.0,1,1,4,4.2,2.0,5,32.0,1,1404.0,0,1,57.0
387,5293,15,39,14,14,5.0,2,2,1,21.7,2.0,8,27.0,1,454.0,0,5,67.0
297,2392,16,155,19,6,4.0,0,0,1,6.0,6.5,2,60.0,1,357.0,0,3,60.0
1161,1669,16,155,21,11,-1.0,2,2,1,3.7,2.0,7,39.0,1,1212.0,0,2,51.0
286,2770,15,138,19,8,3.0,2,2,1,8.0,2.0,5,46.0,1,364.0,0,3,78.0
274,2460,16,155,15,10,3.0,2,2,1,11.9,2.0,7,29.0,1,371.0,0,2,97.0
296,1392,15,59,16,5,5.0,2,2,4,10.5,-1.0,1,51.0,1,406.0,0,3,110.0
181,780,16,179,8,9,1.0,2,2,1,23.0,2.0,7,15.0,1,258.0,0,5,77.0
249,1748,15,80,10,4,-1.0,1,1,3,13.0,2.0,3,13.0,1,317.0,0,3,68.0
172,561,15,80,7,3,-1.0,2,2,4,14.9,2.0,3,13.0,1,278.0,0,3,106.0
981,8462,16,141,33,9,-1.0,2,2,3,12.4,2.0,1,0.0,1,1034.0,0,5,53.0
285,2506,15,80,15,3,-1.0,2,2,1,15.5,2.0,1,31.0,1,352.0,0,3,67.0
209,2160,15,80,15,3,-1.0,2,2,3,19.1,2.0,3,52.0,1,292.0,0,4,83.0
329,2687,15,93,21,5,1.0,2,2,1,3.4,2.0,7,39.0,1,405.0,0,1,76.0
299,2506,16,31,9,9,2.0,2,2,1,16.9,2.0,8,19.0,1,334.0,0,4,35.0
732,7790,16,55,9,9,-1.0,0,0,1,21.8,2.0,3,40.0,1,791.0,0,4,59.0
257,600,15,80,16,7,4.0,2,2,0,7.0,2.0,1,61.0,1,343.0,1,4,86.0
1062,3957,16,55,15,19,6.0,2,2,1,16.3,2.0,1,21.0,1,1098.0,0,4,36.0
299,2015,15,216,15,15,5.0,2,2,1,1.0,2.0,7,38.0,1,381.0,0,2,82.0
300,6191,15,216,18,4,-1.0,2,2,1,-4.0,2.0,4,75.0,1,409.0,0,1,109.0
300,2926,15,216,11,4,-1.0,2,2,3,19.0,2.0,8,50.0,1,389.0,0,5,89.0
574,3891,15,200,38,7,-1.0,2,2,1,10.2,6.5,3,66.0,1,716.0,0,3,142.0
388,1320,15,200,12,6,-1.0,2,2,1,8.4,2.0,1,67.0,1,454.0,0,4,66.0
300,1742,15,216,7,7,-1.0,2,2,4,9.0,6.5,8,27.0,1,344.0,0,3,44.0
940,5214,15,200,15,15,-1.0,2,2,4,1.3,2.0,7,42.0,1,1060.0,0,2,120.0
523,3579,15,216,12,12,8.0,2,2,1,13.6,2.0,5,26.0,1,584.0,0,3,61.0
684,3034,15,191,9,9,-1.0,2,2,1,-0.5,2.0,4,23.0,1,784.0,0,1,100.0
291,335,15,23,4,4,-1.0,2,2,2,2.6,2.0,7,20.0,1,363.0,0,1,72.0
428,720,13,163,40,8,-1.0,2,2,1,15.8,2.0,7,34.0,1,488.0,0,3,60.0
250,1563,15,23,4,3,-1.0,2,2,1,11.5,2.0,2,12.0,1,298.0,0,2,48.0
164,4322,15,23,23,4,-1.0,2,2,1,16.1,2.0,7,0.0,1,290.0,0,3,126.0
431,6843,15,23,16,8,-1.0,1,1,3,11.5,2.0,2,88.0,1,522.0,1,5,91.0
405,4920,15,23,22,6,-1.0,1,1,3,21.7,2.0,3,36.0,1,519.0,0,4,114.0
397,2692,13,36,10,10,-1.0,2,2,4,14.2,2.0,7,22.0,1,419.0,0,3,22.0
624,6960,15,23,17,9,-1.0,2,2,1,17.1,2.0,8,53.0,1,691.0,0,4,67.0
140,5522,15,23,24,2,-1.0,1,1,1,8.7,2.0,1,24.0,1,269.0,0,2,129.0
282,1551,15,23,22,16,8.0,2,2,3,12.2,2.0,8,25.1,1,381.0,0,3,99.0
574,1358,15,74,17,8,-1.0,2,2,1,4.4,2.0,6,54.0,1,658.0,0,2,84.0
331,1529,13,36,10,5,-1.0,2,2,1,14.8,2.0,8,45.0,1,331.0,0,4,0.0
322,660,15,74,22,5,1.0,2,2,4,8.9,2.0,7,47.0,1,392.0,0,2,70.0
583,4122,15,74,26,10,-1.0,1,1,1,16.2,2.0,4,25.0,1,615.0,0,4,32.0
800,1294,15,74,23,16,-1.0,2,2,3,10.4,2.0,3,52.0,1,860.0,0,3,60.0
405,1141,15,74,9,9,-1.0,2,2,1,-1.4,2.0,8,41.0,1,471.0,0,1,66.0
267,3992,15,74,5,5,-1.0,2,2,3,19.0,2.0,5,24.0,1,343.0,0,5,76.0
313,660,15,111,15,8,7.0,2,2,4,13.1,2.0,5,29.0,1,408.0,0,3,95.0
205,1669,13,36,11,3,-1.0,0,0,1,2.9,6.5,7,48.0,1,293.0,0,2,88.0
392,2698,12,166,22,3,-1.0,2,2,1,12.0,2.0,3,49.0,1,436.0,0,3,44.0
377,5220,12,166,19,5,3.0,2,2,3,21.5,2.0,5,23.0,1,435.0,0,5,58.0
635,7023,12,166,28,13,6.0,2,2,1,6.8,2.0,5,28.0,1,652.0,0,2,17.0
447,11340,12,108,18,5,-1.0,1,1,3,11.1,6.5,5,31.0,1,548.0,0,4,101.0
408,5520,13,161,22,9,5.0,2,2,1,19.9,6.5,2,34.0,1,436.0,0,3,28.0
775,6565,13,161,15,10,-1.0,2,2,1,13.1,2.0,8,37.0,1,818.0,0,3,43.0
599,4230,12,47,17,11,-1.0,2,2,4,12.3,6.5,5,34.0,1,665.0,0,3,66.0
459,14204,13,169,12,5,-1.0,2,2,1,14.7,2.0,8,16.0,1,557.0,0,3,98.0
480,6240,12,28,23,19,9.0,2,2,1,11.0,2.0,3,17.0,1,529.0,0,1,49.0
360,3780,12,28,12,8,5.0,2,2,4,26.5,2.0,1,50.0,1,526.0,0,6,166.0
240,2220,12,28,16,11,2.0,2,2,1,7.0,6.5,7,49.0,1,379.0,1,3,139.0
1713,705,13,169,28,28,-1.0,2,2,1,18.1,2.0,7,0.0,1,1776.0,0,4,63.0
636,9898,13,51,7,7,-1.0,2,2,1,5.4,2.0,8,18.0,1,702.0,0,1,66.0
851,1320,12,28,10,12,-1.0,0,0,1,24.9,2.0,3,23.0,1,888.0,0,5,37.0
198,82590,13,51,27,8,2.0,2,2,3,12.8,6.5,4,17.0,1,210.0,0,4,12.0
211,8107,12,58,18,18,3.0,2,2,1,12.2,2.0,7,20.0,1,276.0,0,4,65.0
420,1500,13,43,15,10,6.0,2,2,0,0.8,2.0,8,38.0,1,454.0,0,2,34.0
522,5353,12,214,20,33,4.0,2,2,4,19.3,-1.0,1,0.0,1,646.0,0,4,124.0
147,2220,12,214,7,7,1.0,2,2,1,22.8,2.0,7,48.0,1,216.0,0,5,69.0
578,4931,12,133,40,9,8.0,2,2,4,19.7,-1.0,4,29.0,1,631.0,0,5,53.0
422,3944,13,79,8,5,5.0,2,2,1,16.5,2.0,5,26.0,1,478.0,0,4,56.0
802,3711,13,79,10,8,8.0,2,2,1,13.5,2.0,6,38.0,1,894.0,0,3,92.0
209,6317,12,133,12,12,4.0,2,2,1,21.0,2.0,4,51.0,1,245.0,0,4,36.0
485,3430,13,79,7,7,-1.0,2,2,1,19.0,2.0,7,24.0,1,535.0,0,4,50.0
874,1200,13,79,10,10,12.0,2,2,1,1.9,2.0,5,57.0,1,874.0,0,1,0.0
295,3948,12,129,21,3,3.0,2,2,1,17.0,6.5,3,40.0,1,334.0,0,3,39.0
672,1349,12,129,10,10,-1.0,2,2,1,9.3,2.0,8,36.0,1,732.0,0,3,60.0
336,5091,12,129,11,11,8.0,2,2,1,4.0,2.0,5,50.0,1,431.0,0,1,95.0
279,1776,12,219,7,3,-1.0,2,2,1,26.0,2.0,7,40.0,1,364.0,0,6,85.0
816,1951,12,219,14,8,11.0,2,2,1,18.5,2.0,3,13.0,1,836.0,0,3,20.0
288,3154,12,219,18,12,5.0,2,2,3,26.8,2.0,1,20.0,1,300.0,0,5,12.0
299,5852,12,219,10,13,2.0,2,2,1,12.9,6.5,5,30.0,1,319.0,0,3,20.0
693,6300,13,177,32,8,-1.0,1,1,1,5.5,2.0,3,23.0,1,844.0,0,2,151.0
900,5700,13,177,37,13,-1.0,2,2,1,10.1,2.0,3,22.0,1,1002.0,0,2,102.0
1250,5940,13,165,16,16,-1.0,2,2,2,29.0,2.0,8,36.0,1,1377.0,0,6,127.0
623,9023,12,7,4,4,4.0,2,2,1,2.7,6.5,7,35.0,1,691.0,0,1,68.0
810,2760,13,165,8,8,-1.0,2,2,1,18.0,2.0,8,16.0,1,905.0,0,4,95.0
990,2490,12,124,12,7,-1.0,2,2,3,2.8,6.5,7,38.0,1,1100.0,0,1,110.0
930,2400,12,124,12,6,-1.0,0,0,3,15.3,-1.0,3,40.0,1,973.0,0,4,43.0
371,4264,12,212,18,18,5.0,2,2,1,14.6,2.0,8,37.0,1,401.0,0,2,30.0
714,4801,12,164,9,9,-1.0,1,1,1,18.6,6.5,3,24.0,1,762.0,0,3,48.0
524,1860,12,124,15,5,-1.0,2,2,1,13.9,2.0,3,30.0,1,584.0,0,2,60.0
387,11865,12,164,10,10,7.0,2,2,3,11.0,-1.0,7,28.0,1,500.0,0,4,113.0
602,4620,12,108,8,5,-1.0,2,2,2,5.9,2.0,5,25.0,1,632.0,0,2,30.0
871,5251,12,164,14,14,-1.0,2,2,1,5.4,6.5,6,32.0,1,1022.0,0,2,151.0
681,16500,12,108,17,12,-1.0,2,2,1,0.0,2.0,7,79.0,1,846.0,1,3,165.0
231,43977,2,183,12,5,-1.0,0,0,3,6.0,2.0,7,23.0,1,291.0,1,3,60.0
486,1845,2,10,5,5,-1.0,2,2,3,11.6,2.0,5,20.0,1,514.0,0,3,28.0
1022,4579,2,10,26,20,-1.0,2,2,1,13.4,2.0,1,26.6,1,1171.0,0,3,149.0
1073,1490,2,10,50,39,5.0,2,2,2,3.5,2.0,5,18.0,1,1166.0,0,1,93.0
360,4485,2,213,21,21,6.0,2,2,1,13.3,2.0,4,14.0,1,411.0,0,4,51.0
492,3661,2,213,8,8,-1.0,2,2,1,10.4,2.0,4,11.0,1,708.0,0,1,216.0
292,1405,14,90,21,1,-1.0,1,1,4,20.9,2.0,3,55.0,1,349.0,0,5,57.0
359,10942,2,213,28,28,6.0,2,2,4,8.0,2.0,5,29.0,1,416.0,0,1,57.0
1287,71220,1,128,28,22,12.0,1,1,3,12.6,2.0,3,39.0,1,1347.0,0,3,60.0
1653,4975,1,128,15,15,15.0,1,1,3,9.7,2.0,1,25.0,1,1719.0,0,4,66.0
620,1245,16,197,17,17,9.0,2,2,1,11.5,2.0,3,25.0,1,669.0,0,3,49.0
292,1560,16,197,23,23,4.0,2,2,1,13.0,2.0,3,45.0,1,344.0,0,3,52.0
629,3997,16,197,20,20,11.0,2,2,3,0.0,2.0,1,60.0,1,689.0,0,1,60.0
183,3371,2,211,5,2,-1.0,2,2,4,14.2,2.0,8,39.0,1,382.0,0,2,199.0
459,180,8,154,4,4,-1.0,1,1,1,-6.2,2.0,5,47.0,1,519.0,0,1,60.0
537,49136,2,211,27,8,12.0,2,2,2,19.1,2.0,8,0.0,1,625.0,0,5,88.0
743,2385,2,211,8,8,-1.0,2,2,3,-4.6,2.0,5,83.0,1,813.0,1,1,70.0
407,3407,2,156,7,7,-1.0,2,2,1,15.1,2.0,2,22.0,1,455.0,0,4,48.0
188,2238,8,68,6,2,-1.0,0,0,1,8.5,2.0,5,40.0,1,317.0,0,2,129.0
858,69027,5,62,17,3,-1.0,2,2,1,30.3,2.0,7,15.0,1,963.0,0,5,105.0
522,1709,2,86,18,5,6.0,2,2,1,19.8,6.5,5,43.0,1,563.0,0,4,41.0
2563,9120,1,1,38,13,-1.0,2,2,3,24.5,2.0,3,27.0,1,2623.0,0,5,60.0
1183,720,1,1,28,7,-1.0,2,2,1,19.1,2.0,3,38.0,1,1303.0,0,5,120.0
1164,711,1,1,21,7,-1.0,2,2,1,21.4,6.5,8,28.0,1,1194.0,0,5,30.0
886,1690,1,1,21,21,3.0,2,2,1,13.0,2.0,7,23.0,1,945.0,0,3,59.0
1260,3540,1,1,25,25,7.0,2,2,1,13.2,2.0,6,20.0,1,1320.0,0,4,60.0
423,2082,1,1,21,21,2.0,2,2,1,20.3,2.0,7,18.0,1,492.0,0,4,69.0
333,1205,2,185,12,1,-1.0,2,2,3,21.5,2.0,5,75.0,1,386.0,0,6,53.0
643,271,1,121,7,5,-1.0,2,2,3,-0.3,2.0,7,22.0,1,680.0,0,1,37.0
411,626,1,121,12,3,-1.0,2,2,1,12.5,2.0,3,42.0,1,460.0,0,4,49.0
1605,3058,2,181,23,22,-1.0,0,0,3,5.0,2.0,5,27.0,1,1676.0,0,2,71.0
645,1882,2,181,3,3,-1.0,1,1,1,4.1,2.0,5,38.0,1,724.0,0,1,79.0
646,2101,1,128,5,5,5.0,2,2,1,14.8,2.0,6,16.0,1,857.0,0,4,211.0
281,5619,2,46,3,3,-1.0,2,2,1,2.5,2.0,5,42.0,1,383.0,1,1,102.0
248,10401,2,46,25,4,-1.0,2,2,2,8.6,2.0,8,19.0,1,419.0,0,1,171.0
292,4464,2,46,5,5,-1.0,2,2,1,18.8,2.0,2,52.0,1,338.0,1,5,46.0
303,1165,2,46,4,4,-1.0,2,2,1,7.0,-1.0,7,22.0,1,337.0,0,1,34.0
421,360,7,82,9,2,-1.0,0,0,1,5.3,2.0,8,0.0,1,498.0,0,1,77.0
197,3268,7,6,12,12,-1.0,1,1,3,6.7,-1.0,6,75.0,1,421.0,0,3,224.0
936,1962,7,42,9,8,-1.0,2,2,4,16.5,15.0,3,38.0,1,1007.0,0,3,71.0
829,1948,7,85,2,2,-1.0,2,2,3,13.7,6.5,8,43.0,1,961.0,0,4,132.0
224,503,7,85,7,1,-1.0,0,0,3,13.7,6.5,3,38.0,1,328.0,0,3,104.0
336,1857,7,83,5,1,-1.0,2,2,1,17.5,2.0,1,62.0,1,434.0,0,4,98.0
660,919,7,42,23,4,-1.0,2,2,3,22.9,2.0,1,71.0,1,684.0,0,6,24.0
347,2875,7,65,6,2,-1.0,1,1,3,26.2,2.0,2,37.0,1,438.0,0,6,91.0
1435,9037,7,40,10,9,-1.0,2,2,3,25.0,2.0,5,33.0,1,1681.0,0,5,246.0
410,5592,7,85,5,3,-1.0,2,2,3,22.3,-1.0,4,50.0,1,517.0,0,6,107.0
490,2872,7,82,11,1,-1.0,0,0,1,29.9,2.0,8,0.0,1,582.0,0,6,92.0
205,2188,7,215,9,1,-1.0,1,1,1,24.7,2.0,3,66.0,1,271.0,0,6,66.0
294,1826,7,103,2,1,-1.0,0,0,1,21.0,2.0,2,91.0,1,401.0,1,9,107.0
428,574,7,62,4,2,-1.0,1,1,1,17.4,2.0,5,38.0,1,519.0,0,10,91.0
950,13710,1,159,8,3,-1.0,2,2,3,12.8,2.0,2,40.0,1,1006.0,0,10,56.0
436,5161,7,85,2,2,-1.0,0,0,1,14.4,2.0,5,30.0,1,532.0,0,11,96.0
732,1259,7,42,10,7,-1.0,2,2,1,10.8,2.0,1,37.0,1,781.0,0,12,49.0
431,6015,7,215,3,1,-1.0,1,1,1,11.4,2.0,1,26.0,1,482.0,0,12,51.0
622,1078,7,89,6,5,-1.0,1,1,1,12.2,-1.0,1,30.0,1,752.0,0,11,130.0
573,615,7,85,3,3,-1.0,2,2,3,11.4,2.0,7,35.0,1,704.0,0,12,131.0
544,0,7,85,5,4,-1.0,2,2,3,6.5,2.0,7,48.0,1,628.0,0,12,84.0
376,498,1,202,10,5,-1.0,2,2,1,20.4,2.0,5,42.0,1,541.0,0,10,165.0
1549,3720,1,29,9,5,-1.0,2,2,3,19.0,2.0,7,20.0,1,1669.0,0,10,120.0
615,4706,1,202,12,8,6.0,2,2,3,16.9,2.0,3,66.0,1,777.0,0,10,162.0
231,5318,5,57,6,1,-1.0,2,2,3,4.2,-1.0,5,36.0,1,280.0,0,3,49.0
445,1097,1,1,16,16,3.0,2,2,3,18.0,6.5,7,37.0,1,621.0,0,10,176.0
766,6000,1,218,13,4,-1.0,2,2,3,0.0,-1.0,0,0.0,1,826.0,0,10,60.0
559,4601,1,202,6,6,-1.0,2,2,1,16.8,2.0,7,22.0,1,605.0,0,10,46.0
1091,9840,1,123,17,11,-1.0,2,2,3,15.4,2.0,3,30.0,1,1207.0,0,10,116.0
480,1241,1,45,13,2,-1.0,2,2,3,15.2,15.0,6,71.0,1,525.0,0,10,45.0
587,3200,5,57,9,4,-1.0,2,2,3,0.3,2.0,5,62.0,1,697.0,1,2,110.0
476,2251,1,121,14,3,-1.0,2,2,1,13.0,2.0,8,33.0,1,511.0,0,10,35.0
