DSPT_REQ_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,FCLT_PLC_SCLSF_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM,golden_time_under_50min,arrival_time_diff,is_night,month_rcpt,dispatch_time_diff,FIRE_SUPESN_HR_log,DSPT_REQ_HR_log,FRSTN_GRNDS_DSTNC_log,CNTR_GRNDS_DSTNC_log,LFDAU_GRNDS_DSTNC_log,arrival_time_diff_log,dispatch_time_diff_log
876,1,115,15,15,-1.0,2,2,4,12.8,2.0,8,24.0,1,952.0,0,4,76.0,7.087573705557973,6.776506992372183,2.772588722239781,2.772588722239781,-inf,6.859614903654202,4.343805421853684
753,15,54,15,7,-1.0,2,2,1,22.0,2.0,7,0.0,1,859.0,0,4,106.0,8.89439598980643,6.625392368007956,2.772588722239781,2.0794415416798357,-inf,6.756932389247553,4.672828834461906
823,3,136,21,5,-1.0,1,1,2,13.7,2.0,5,70.0,1,879.0,1,5,56.0,10.17975472217261,6.714170529909472,3.091042453358316,1.791759469228055,-inf,6.779921907472252,4.04305126783455
240,16,193,9,4,-1.0,2,2,3,13.0,2.0,2,24.0,1,411.0,0,3,171.0,7.40184157874383,5.484796933490655,2.302585092994046,1.6094379124341003,-inf,6.021023349349527,5.147494476813453
1661,2,185,11,6,-1.0,1,1,3,12.2,2.0,2,89.0,1,1713.0,0,4,52.0,7.370230641807081,7.415776975415394,2.4849066497880004,1.9459101490553132,-inf,7.446585099157725,3.970291913552122
968,1,121,12,6,-1.0,1,1,3,12.8,2.0,3,24.0,1,1010.0,0,3,42.0,8.164225652265827,6.876264611890766,2.5649493574615367,1.9459101490553132,-inf,6.918695219020472,3.7612001156935624
314,1,17,5,1,-1.0,1,1,3,-6.9,2.0,6,54.0,1,422.0,1,2,108.0,6.139884552226255,5.752572638825633,1.791759469228055,0.6931471805599453,-inf,6.0473721790462776,4.6913478822291435
598,1,218,15,17,-1.0,2,2,1,8.0,2.0,3,36.0,1,696.0,0,3,98.0,7.579678823090456,6.395261598115449,2.772588722239781,2.8903717578961645,-inf,6.546785410760524,4.59511985013459
763,3,151,18,18,8.0,1,1,3,17.9,2.0,6,58.0,1,804.0,0,4,41.0,9.948365311314214,6.638567789166521,2.9444389791664403,2.9444389791664403,2.1972245773362196,6.690842277418564,3.7376696182833684
677,7,85,4,2,-1.0,2,2,3,11.2,2.0,8,23.0,1,797.0,0,1,120.0,0.0,6.519147287940395,1.6094379124341003,1.0986122886681098,-inf,6.682108597449809,4.795790545596741
569,13,36,17,5,-1.0,2,2,3,8.6,6.5,8,20.0,1,626.0,0,3,57.0,7.717796211013582,6.345636360828596,2.8903717578961645,1.791759469228055,-inf,6.440946540632921,4.060443010546419
854,10,150,21,5,-1.0,2,2,1,16.3,2.0,1,70.0,1,907.0,0,3,53.0,0.0,6.75110146893676,3.091042453358316,1.791759469228055,-inf,6.811244378601294,3.9889840465642745
1141,1,50,3,3,-1.0,2,2,3,15.3,2.0,8,20.0,1,1175.0,0,3,34.0,9.125326997649227,7.040536390215956,1.3862943611198906,1.3862943611198906,-inf,7.069874128458572,3.5553480614894135
327,15,74,4,4,-1.0,2,2,3,15.9,2.0,3,18.0,1,402.0,0,4,75.0,7.116394144093465,5.793013608384144,1.6094379124341003,1.6094379124341003,-inf,5.998936561946683,4.330733340286331
211,15,200,31,2,-1.0,0,0,1,7.1,6.5,7,37.0,1,259.0,0,3,48.0,8.464003362902119,5.356586274672012,3.4657359027997265,1.0986122886681098,-inf,5.560681631015528,3.8918202981106265
805,1,125,16,7,-1.0,2,2,4,28.0,2.0,8,24.0,1,915.0,0,6,110.0,7.4413203897176174,6.692083742506628,2.833213344056216,2.0794415416798357,-inf,6.82001636467413,4.709530201312334
474,1,208,3,3,-1.0,2,2,1,10.0,-1.0,0,55.0,1,561.0,1,3,87.0,5.796057750765372,6.163314804034641,1.3862943611198906,1.3862943611198906,-inf,6.331501849893691,4.477336814478207
208,8,66,0,0,-1.0,1,1,1,1.5,2.0,7,18.0,1,230.0,0,1,22.0,0.0,5.342334251964811,0.0,0.0,-inf,5.442417710521793,3.1354942159291497
291,16,76,3,3,-1.0,2,2,1,16.8,6.5,7,18.9,1,323.0,0,4,32.0,9.486759252149254,5.676753802268282,1.3862943611198906,1.3862943611198906,-inf,5.780743515792329,3.4965075614664802
844,0,217,21,27,6.0,2,2,1,20.3,2.0,1,31.0,1,844.0,0,5,0.0,6.045005314036012,6.739336627357174,3.091042453358316,3.332204510175204,1.9459101490553132,6.739336627357174,0.0
407,1,121,14,3,3.0,1,1,1,23.4,2.0,3,48.0,1,459.0,0,4,52.0,6.285998094508865,6.0112671744041615,2.70805020110221,1.3862943611198906,1.3862943611198906,6.131226489483141,3.970291913552122
432,3,35,30,5,-1.0,2,2,1,14.0,2.0,8,15.0,1,529.0,0,4,97.0,7.6586995582682995,6.07073772800249,3.4339872044851463,1.791759469228055,-inf,6.272877006546167,4.584967478670572
537,1,159,5,3,-1.0,2,2,1,-0.9,2.0,3,41.0,1,559.0,0,1,22.0,5.564520407322694,6.2878585601617845,1.791759469228055,1.3862943611198906,-inf,6.327936783729195,3.1354942159291497
492,0,100,9,7,-1.0,2,2,1,10.8,2.0,2,34.0,1,535.0,0,3,43.0,9.173883834965567,6.20050917404269,2.302585092994046,2.0794415416798357,-inf,6.284134161070802,3.784189633918261
600,15,186,28,13,8.0,2,2,1,11.0,2.0,3,43.0,1,775.0,0,3,175.0,7.496097345175956,6.398594934535208,3.367295829986474,2.6390573296152584,2.1972245773362196,6.654152520183219,5.170483995038151
397,3,207,3,1,-1.0,2,2,1,-3.1,2.0,3,37.0,1,455.0,1,1,58.0,8.990316947998217,5.986452005284438,1.3862943611198906,0.6931471805599453,-inf,6.1224928095143865,4.07753744390572
843,0,162,16,16,10.0,1,1,1,27.1,2.0,3,17.0,1,930.0,0,5,87.0,11.334324976406691,6.738152494595957,2.833213344056216,2.833213344056216,2.3978952727983707,6.836259277277067,4.477336814478207
295,16,197,19,5,-1.0,2,2,1,14.7,2.0,7,29.0,1,325.0,0,3,30.0,7.822044008185619,5.69035945432406,2.995732273553991,1.791759469228055,-inf,5.786897381366708,3.4339872044851463
299,16,141,40,2,-1.0,1,1,1,4.2,2.0,7,0.0,1,370.0,0,1,71.0,8.637107288081575,5.703782474656201,3.713572066704308,1.0986122886681098,-inf,5.916202062607435,4.276666119016055
494,1,115,8,7,-1.0,2,2,4,16.4,2.0,7,18.0,1,555.0,0,4,61.0,7.07326971745971,6.20455776256869,2.1972245773362196,2.0794415416798357,-inf,6.320768294250582,4.127134385045092
659,1,148,21,8,-1.0,2,2,1,1.8,2.0,8,28.0,1,750.0,0,1,91.0,7.895436006942965,6.492239835020471,3.091042453358316,2.1972245773362196,-inf,6.621405651764134,4.5217885770490405
283,4,89,4,2,-1.0,2,2,3,7.8,2.0,3,66.0,1,409.0,0,4,126.0,6.78332520060396,5.648974238161206,1.6094379124341003,1.0986122886681098,-inf,6.016157159698354,4.844187086458591
219,15,216,20,5,2.0,2,2,4,8.0,2.0,3,27.0,1,305.0,0,1,86.0,8.299285906897275,5.393627546352362,3.044522437723423,1.791759469228055,1.0986122886681098,5.723585101952381,4.465908118654584
827,0,135,31,31,15.0,2,2,1,16.1,2.0,2,44.0,1,879.0,0,4,52.0,8.044947049617722,6.71901315438526,3.4657359027997265,3.4657359027997265,2.772588722239781,6.779921907472252,3.970291913552122
1395,10,82,12,7,-1.0,2,2,1,0.0,-1.0,0,0.0,1,1446.0,0,3,51.0,8.995660899074103,7.241366283322318,2.5649493574615367,2.0794415416798357,-inf,7.277247726631484,3.9512437185814275
923,13,169,10,9,-1.0,2,2,1,5.7,2.0,3,29.0,1,980.0,1,4,57.0,8.094683648698815,6.828712071641684,2.3978952727983707,2.302585092994046,-inf,6.8885724595653635,4.060443010546419
251,1,160,11,11,4.0,0,0,1,12.0,2.0,8,27.0,1,307.0,0,2,56.0,7.353081920515432,5.529429087511423,2.4849066497880004,2.4849066497880004,1.6094379124341003,5.730099782973574,4.04305126783455
285,8,173,5,1,-1.0,1,1,1,19.2,2.0,8,34.0,1,297.0,0,5,12.0,0.0,5.655991810819852,1.791759469228055,0.6931471805599453,-inf,5.697093486505405,2.5649493574615367
942,12,219,9,9,13.0,1,1,3,17.0,6.5,7,27.0,1,966.0,0,3,24.0,9.389239411968807,6.849066282633458,2.302585092994046,2.302585092994046,2.6390573296152584,6.874198495453294,3.2188758248682006
1050,1,109,12,5,-1.0,2,2,1,15.7,2.0,6,0.0,1,1206.0,0,4,156.0,6.282266746896006,6.957497370876951,2.5649493574615367,1.791759469228055,-inf,7.095893221097532,5.056245805348308
711,1,202,11,6,-1.0,2,2,1,19.5,2.0,6,55.0,1,748.0,1,5,37.0,7.049254841255837,6.568077911411976,2.4849066497880004,1.9459101490553132,-inf,6.618738983517219,3.6375861597263857
1082,16,155,23,14,-1.0,2,2,1,18.4,6.5,7,18.0,1,1124.0,0,4,42.0,8.105005537547246,6.9874902470009905,3.1780538303479458,2.70805020110221,-inf,7.025538314638521,3.7612001156935624
564,1,123,11,11,10.0,2,2,4,12.9,6.5,8,23.0,1,606.0,0,4,42.0,8.445267451844648,6.336825731146441,2.4849066497880004,2.4849066497880004,2.3978952727983707,6.408528791059498,3.7612001156935624
1060,1,123,27,3,-1.0,2,2,1,23.5,2.0,7,14.0,1,1150.0,0,4,90.0,8.065579427282092,6.966967138613983,3.332204510175204,1.3862943611198906,-inf,7.048386408721883,4.51085950651685
336,12,214,24,24,7.0,2,2,4,32.1,2.0,6,63.0,1,397.0,0,8,61.0,9.81694879111889,5.820082930352362,3.2188758248682006,3.2188758248682006,2.0794415416798357,5.986452005284438,4.127134385045092
1313,13,43,28,8,15.0,2,2,1,14.6,6.5,7,36.0,1,1354.0,0,3,41.0,8.224699561967235,7.1808311990445555,3.367295829986474,2.1972245773362196,2.772588722239781,7.2115567333138015,3.7376696182833684
272,2,119,17,4,-1.0,2,2,1,13.7,2.0,5,0.0,1,325.0,0,4,53.0,7.767263996757308,5.60947179518496,2.8903717578961645,1.6094379124341003,-inf,5.786897381366708,3.9889840465642745
180,1,128,10,10,-1.0,2,2,1,27.3,2.0,2,29.0,1,242.0,0,5,62.0,7.634820677745543,5.198497031265826,2.3978952727983707,2.3978952727983707,-inf,5.493061443340548,4.143134726391533
782,3,157,29,13,-1.0,2,2,3,19.2,6.5,5,13.0,1,846.0,0,3,64.0,8.479906606630221,6.663132695990803,3.4011973816621555,2.6390573296152584,-inf,6.741700694652055,4.174387269895637
472,1,148,10,3,-1.0,2,2,2,27.5,2.0,7,16.0,1,641.0,0,4,169.0,6.679599185844383,6.159095388491933,2.3978952727983707,1.3862943611198906,-inf,6.464588303689961,5.135798437050262
96,1,205,17,16,-1.0,2,2,1,15.0,2.0,3,35.0,1,137.0,0,4,41.0,8.189522110748094,4.574710978503383,2.8903717578961645,2.833213344056216,-inf,4.927253685157205,3.7376696182833684
213,2,86,4,4,-1.0,2,2,4,14.4,2.0,3,41.0,1,258.0,0,3,45.0,7.781973234434385,5.365976015021851,1.6094379124341003,1.6094379124341003,-inf,5.556828061699537,3.828641396489095
370,1,1,3,3,-1.0,2,2,1,13.1,2.0,8,37.0,1,472.0,0,3,102.0,6.3835066348840055,5.916202062607435,1.3862943611198906,1.3862943611198906,-inf,6.159095388491933,4.634728988229636
634,11,89,11,4,-1.0,2,2,1,-3.0,2.0,4,45.0,1,695.0,0,1,61.0,7.251344983372214,6.453624998892692,2.4849066497880004,1.6094379124341003,-inf,6.54534966033442,4.127134385045092
664,1,140,3,3,-1.0,2,2,4,10.1,2.0,7,25.0,1,866.0,0,3,202.0,5.655991810819852,6.499787040655854,1.3862943611198906,1.3862943611198906,-inf,6.7650389767805414,5.313205979041787
296,15,23,31,4,-1.0,2,2,1,6.2,2.0,2,46.0,1,320.0,0,3,24.0,8.594339400592892,5.6937321388027,3.4657359027997265,1.6094379124341003,-inf,5.771441123130016,3.2188758248682006
672,1,123,24,18,6.0,1,1,1,-3.1,2.0,7,25.0,1,731.0,0,1,59.0,7.228388451573604,6.511745329644728,3.2188758248682006,2.9444389791664403,1.9459101490553132,6.595780513961311,4.0943445622221
316,3,77,41,2,-1.0,2,2,1,22.3,2.0,8,31.7,1,374.0,0,5,58.0,7.947678571301568,5.75890177387728,3.7376696182833684,1.0986122886681098,-inf,5.926926025970411,4.07753744390572
553,0,217,38,5,26.0,2,2,1,11.2,2.0,8,28.0,1,620.0,0,3,67.0,7.555381944240273,6.317164686747284,3.6635616461296463,1.791759469228055,3.295836866004329,6.431331081933479,4.219507705176107
300,15,138,22,12,3.0,2,2,1,-3.1,2.0,8,30.0,1,386.0,0,1,86.0,8.323851131338817,5.707110264748875,3.1354942159291497,2.5649493574615367,1.3862943611198906,5.958424693029782,4.465908118654584
773,1,160,12,12,11.0,0,0,3,7.3,2.0,2,56.0,1,833.0,0,2,60.0,8.821879862683842,6.651571873589727,2.5649493574615367,2.5649493574615367,2.4849066497880004,6.726233402358747,4.110873864173311
549,1,160,10,10,4.0,2,2,1,-10.3,2.0,5,0.0,1,636.0,1,2,87.0,6.175867270105761,6.309918278226516,2.3978952727983707,2.3978952727983707,1.6094379124341003,6.456769655572163,4.477336814478207
1202,3,15,20,6,-1.0,2,2,3,17.0,2.0,1,42.0,1,1267.0,1,4,65.0,7.255591274253665,7.0925737159746784,3.044522437723423,1.9459101490553132,-inf,7.145196134997171,4.189654742026425
90,15,23,13,14,-1.0,2,2,1,1.4,2.0,7,18.0,1,151.0,0,2,61.0,6.608000625296087,4.51085950651685,2.6390573296152584,2.70805020110221,-inf,5.0238805208462765,4.127134385045092
300,7,215,7,2,-1.0,2,2,1,5.3,2.0,7,41.0,1,398.0,1,1,98.0,6.652863029353347,5.707110264748875,2.0794415416798357,1.0986122886681098,-inf,5.988961416889864,4.59511985013459
682,1,218,20,4,-1.0,2,2,4,10.5,2.0,6,34.0,1,785.0,0,3,103.0,7.7039102096163115,6.52649485957079,3.044522437723423,1.6094379124341003,-inf,6.666956792429207,4.6443908991413725
329,2,119,6,6,-1.0,2,2,2,6.5,2.0,3,0.0,1,471.0,1,3,142.0,9.772752247213607,5.799092654460526,1.9459101490553132,1.9459101490553132,-inf,6.156978985585555,4.962844630259907
527,2,180,6,6,-1.0,2,2,1,4.9,2.0,7,46.0,1,588.0,0,1,61.0,5.814130531825066,6.269096283706261,1.9459101490553132,1.9459101490553132,-inf,6.3784261836515865,4.127134385045092
300,15,191,20,4,-1.0,2,2,4,7.3,2.0,1,56.0,1,388.0,0,1,88.0,7.01571242048723,5.707110264748875,3.044522437723423,1.6094379124341003,-inf,5.963579343618446,4.48863636973214
299,16,132,16,8,4.0,2,2,1,4.4,2.0,4,38.0,1,394.0,0,1,95.0,7.559038255443384,5.703782474656201,2.833213344056216,2.1972245773362196,1.6094379124341003,5.978885764901122,4.564348191467836
775,10,150,14,8,6.0,0,0,3,9.9,6.5,5,17.0,1,896.0,0,4,121.0,6.92951677076365,6.654152520183219,2.70805020110221,2.1972245773362196,1.9459101490553132,6.799055862058796,4.804021044733257
296,16,155,3,3,3.0,0,0,1,16.0,2.0,5,47.0,1,381.0,0,5,85.0,6.8501261661455,5.6937321388027,1.3862943611198906,1.3862943611198906,1.3862943611198906,5.945420608606575,4.454347296253507
614,1,204,18,4,2.0,2,2,1,19.8,2.0,3,49.0,1,754.0,0,4,140.0,6.54965074223381,6.421622267806518,2.9444389791664403,1.6094379124341003,1.0986122886681098,6.626717749249025,4.948759890378168
889,2,209,44,33,10.0,2,2,3,22.4,2.0,1,0.0,1,949.0,0,5,60.0,8.950143756459262,6.7912214627261855,3.8066624897703196,3.5263605246161616,2.3978952727983707,6.856461984594587,4.110873864173311
969,1,128,14,8,7.0,2,2,3,10.5,2.0,3,46.0,1,1068.0,0,4,99.0,9.063694791634697,6.877296071497429,2.70805020110221,2.1972245773362196,2.0794415416798357,6.974478911025045,4.605170185988092
660,3,207,7,5,-1.0,2,2,3,20.0,6.5,4,33.0,1,744.0,0,4,84.0,6.963189985870238,6.493753839851686,2.0794415416798357,1.791759469228055,-inf,6.61338421837956,4.442651256490317
828,0,16,15,6,-1.0,1,1,3,5.1,6.5,6,19.0,1,877.0,0,1,49.0,7.686162303492906,6.720220155135295,2.772588722239781,1.9459101490553132,-inf,6.777646593635117,3.912023005428146
582,7,42,11,10,-1.0,2,2,1,13.2,2.0,4,39.0,1,624.0,0,3,42.0,6.236369590203704,6.368187186350492,2.4849066497880004,2.3978952727983707,-inf,6.437751649736401,3.7612001156935624
775,1,95,4,4,-1.0,1,1,3,29.0,2.0,3,31.0,1,911.0,0,6,136.0,7.059617628291383,6.654152520183219,1.6094379124341003,1.6094379124341003,-inf,6.815639990074331,4.919980925828125
282,16,195,12,5,2.0,2,2,1,17.0,2.0,2,17.0,1,312.0,0,4,30.0,7.713784616598755,5.645446897643238,2.5649493574615367,1.791759469228055,1.0986122886681098,5.746203190540153,3.4339872044851463
570,0,4,9,9,-1.0,2,2,1,8.4,2.0,2,15.0,1,892.0,0,3,322.0,7.146772179452637,6.3473892096560105,2.302585092994046,2.302585092994046,-inf,6.794586580876499,5.777652323222656
314,13,165,14,3,-1.0,2,2,4,5.1,-1.0,5,13.0,1,434.0,0,1,120.0,7.509883061154913,5.752572638825633,2.70805020110221,1.3862943611198906,-inf,6.075346031088684,4.795790545596741
341,1,204,11,4,-1.0,2,2,3,26.4,2.0,8,43.0,1,561.0,0,5,220.0,6.71295620067707,5.834810737062605,2.4849066497880004,1.6094379124341003,-inf,6.331501849893691,5.3981627015177525
616,15,216,9,15,-1.0,2,2,4,16.0,2.0,8,14.0,1,647.0,0,3,31.0,8.975124239427704,6.424869023905388,2.302585092994046,2.772588722239781,-inf,6.473890696352274,3.4657359027997265
651,1,202,15,5,-1.0,2,2,2,0.3,2.0,8,46.0,1,757.0,1,1,106.0,8.598220030058611,6.480044561926653,2.772588722239781,1.791759469228055,-inf,6.630683385642372,4.672828834461906
1112,0,203,30,9,5.0,2,2,1,7.6,2.0,1,50.0,1,1154.0,0,2,42.0,7.86480400332846,7.014814351275545,3.4339872044851463,2.302585092994046,1.791759469228055,7.051855622955894,3.7612001156935624
729,1,160,16,16,4.0,1,1,2,-1.6,2.0,1,0.0,1,814.0,0,1,85.0,8.780633799494984,6.593044534142437,2.833213344056216,2.833213344056216,1.6094379124341003,6.703188113240863,4.454347296253507
384,1,218,29,8,2.0,2,2,1,10.0,2.0,7,39.0,1,444.0,0,3,60.0,7.258412150595307,5.953243334287785,3.4011973816621555,2.1972245773362196,1.0986122886681098,6.09807428216624,4.110873864173311
867,1,34,6,3,-1.0,2,2,3,10.1,2.0,5,5.0,1,934.0,0,3,67.0,5.814130531825066,6.7661917146603505,1.9459101490553132,1.3862943611198906,-inf,6.840546529288687,4.219507705176107
982,1,218,37,15,4.0,2,2,1,2.9,2.0,3,60.0,1,1017.0,0,1,35.0,7.261927092702751,6.890609120147166,3.6375861597263857,2.772588722239781,1.6094379124341003,6.925595197110468,3.58351893845611
620,3,72,4,2,-1.0,2,2,1,19.9,2.0,7,24.0,1,740.0,0,3,120.0,8.016647877057803,6.431331081933479,1.6094379124341003,1.0986122886681098,-inf,6.608000625296087,4.795790545596741
1040,3,77,31,12,-1.0,1,1,1,7.4,2.0,6,43.0,1,1106.0,0,3,66.0,7.075808863978387,6.947937068614969,3.4657359027997265,2.5649493574615367,-inf,7.009408932708637,4.204692619390966
826,15,74,16,12,-1.0,2,2,1,21.3,2.0,3,48.0,1,946.0,0,4,120.0,7.415175109613295,6.717804695023691,2.833213344056216,2.5649493574615367,-inf,6.853299093186078,4.795790545596741
378,2,210,14,14,3.0,2,2,1,21.5,2.0,3,11.0,1,478.0,0,4,100.0,8.981681639973862,5.937536205082426,2.70805020110221,2.70805020110221,1.3862943611198906,6.171700597410915,4.61512051684126
543,1,113,31,7,-1.0,2,2,3,23.9,6.5,2,51.0,1,684.0,0,5,141.0,8.989943046329998,6.298949246855942,3.4657359027997265,2.0794415416798357,-inf,6.529418838262226,4.955827057601261
685,1,97,3,6,-1.0,0,0,1,5.8,2.0,8,40.0,1,803.0,0,3,118.0,7.251344983372214,6.530877627725885,1.3862943611198906,1.9459101490553132,-inf,6.6895992691789665,4.77912349311153
951,2,178,16,8,-1.0,2,2,1,15.0,2.0,4,23.0,1,1076.0,0,3,125.0,8.372860820526318,6.858565034791365,2.833213344056216,2.1972245773362196,-inf,6.981934677156389,4.836281906951478
968,6,153,15,15,-1.0,2,2,3,9.3,2.0,6,33.0,1,1052.0,0,2,84.0,8.134174272137903,6.876264611890766,2.772588722239781,2.772588722239781,-inf,6.959398512133975,4.442651256490317
624,15,23,19,13,11.0,2,2,4,11.0,2.0,4,25.9,1,709.0,0,3,85.0,6.803505257608338,6.437751649736401,2.995732273553991,2.6390573296152584,2.4849066497880004,6.565264970035361,4.454347296253507
298,15,216,24,14,3.0,2,2,1,11.0,2.0,3,49.0,1,416.0,0,2,118.0,7.353081920515432,5.700443573390687,3.2188758248682006,2.70805020110221,1.3862943611198906,6.0330862217988015,4.77912349311153
1149,3,37,43,12,-1.0,2,2,3,1.7,2.0,2,64.0,1,1211.0,1,1,62.0,8.828787083914332,7.047517221357296,3.784189633918261,2.5649493574615367,-inf,7.10002716662926,4.143134726391533
154,12,129,18,18,2.0,1,1,1,1.0,2.0,5,46.0,1,214.0,0,2,60.0,7.523481312573497,5.043425116919247,2.9444389791664403,2.9444389791664403,1.0986122886681098,5.3706380281276624,4.110873864173311
350,8,33,3,1,-1.0,2,2,4,9.7,6.5,3,44.7,1,410.0,0,3,60.0,7.951559331155252,5.860786223465865,1.3862943611198906,0.6931471805599453,-inf,6.018593214496234,4.110873864173311
421,1,205,9,4,-1.0,2,2,1,2.5,2.0,3,20.0,1,478.0,0,1,57.0,7.084226422097916,6.045005314036012,2.302585092994046,1.6094379124341003,-inf,6.171700597410915,4.060443010546419
417,1,160,21,15,5.0,2,2,4,-1.1,2.0,7,0.0,1,462.0,0,1,45.0,5.707110264748875,6.035481432524756,3.091042453358316,2.772588722239781,1.791759469228055,6.137727054086234,3.828641396489095
444,3,206,16,4,-1.0,2,2,0,8.0,6.5,8,30.0,1,577.0,0,4,133.0,11.231609750852064,6.09807428216624,2.833213344056216,1.6094379124341003,-inf,6.359573868672378,4.897839799950911
2979,15,54,35,27,-1.0,1,1,2,16.0,2.0,8,0.0,1,3105.0,0,4,126.0,8.687610843707368,7.9996785794994505,3.58351893845611,3.332204510175204,-inf,8.041091003708633,4.844187086458591
692,8,172,6,5,-1.0,1,1,3,0.0,-1.0,0,0.0,1,736.0,1,1,44.0,4.605170185988092,6.541029999189903,1.9459101490553132,1.791759469228055,-inf,6.602587892189336,3.8066624897703196
814,2,178,23,14,8.0,2,2,3,16.4,2.0,2,0.0,1,915.0,0,3,101.0,7.7306140660637395,6.703188113240863,3.1780538303479458,2.70805020110221,2.1972245773362196,6.82001636467413,4.624972813284271
170,2,211,2,2,-1.0,2,2,1,7.0,2.0,2,32.0,1,241.0,1,4,71.0,7.86403565907245,5.14166355650266,1.0986122886681098,1.0986122886681098,-inf,5.488937726156687,4.276666119016055
1114,1,1,28,28,9.0,2,2,1,14.8,2.0,3,16.0,1,1126.0,0,4,12.0,9.497097016351463,7.016609683894219,3.367295829986474,3.367295829986474,2.302585092994046,7.027314514039777,2.5649493574615367
300,15,92,20,5,1.0,2,2,4,11.0,-1.0,5,41.0,1,452.0,0,3,152.0,7.039660349862076,5.707110264748875,3.044522437723423,1.791759469228055,0.6931471805599453,6.115892125483034,5.030437921392435
182,16,171,3,3,-1.0,2,2,1,21.3,6.5,8,9.0,1,603.0,0,4,421.0,8.186185994226083,5.209486152841421,1.3862943611198906,1.3862943611198906,-inf,6.403574197934815,6.045005314036012
995,3,137,25,10,-1.0,2,2,3,19.6,2.0,1,25.0,1,995.0,0,4,0.0,7.053585727193677,6.903747257584598,3.258096538021482,2.3978952727983707,-inf,6.903747257584598,0.0
1109,0,217,15,15,5.0,2,2,2,20.3,2.0,6,10.0,1,1205.0,0,5,96.0,8.878636747430072,7.01211529430638,2.772588722239781,2.772588722239781,1.791759469228055,7.095064377287131,4.574710978503383
542,0,152,31,10,4.0,2,2,1,18.1,2.0,7,24.0,1,636.0,0,4,94.0,8.19863945529737,6.297109319933935,3.4657359027997265,2.3978952727983707,1.6094379124341003,6.456769655572163,4.553876891600541
224,15,93,21,3,-1.0,2,2,4,12.3,10.5,5,29.0,1,306.0,0,5,82.0,9.027858802380862,5.41610040220442,3.091042453358316,1.3862943611198906,-inf,5.726847747587197,4.418840607796598
230,16,193,20,8,2.0,2,2,1,7.0,2.0,2,57.0,1,275.0,0,4,45.0,7.340835554123275,5.442417710521793,3.044522437723423,2.1972245773362196,1.0986122886681098,5.62040086571715,3.828641396489095
294,15,23,27,7,4.0,2,2,1,12.3,2.0,1,19.0,1,355.0,0,4,61.0,7.840312983320164,5.68697535633982,3.332204510175204,2.0794415416798357,1.6094379124341003,5.87493073085203,4.127134385045092
647,5,62,11,7,-1.0,2,2,2,10.6,6.5,7,17.0,1,737.0,0,4,90.0,7.947678571301568,6.473890696352274,2.4849066497880004,2.0794415416798357,-inf,6.6039438246004725,4.51085950651685
299,12,219,8,4,-1.0,2,2,3,11.3,6.5,7,33.0,1,352.0,0,3,53.0,8.853379672927634,5.703782474656201,2.1972245773362196,1.6094379124341003,-inf,5.8664680569332965,3.9889840465642745
604,3,189,11,11,-1.0,2,2,1,23.0,-1.0,8,0.0,1,641.0,0,4,37.0,8.513586695822125,6.405228458030842,2.4849066497880004,2.4849066497880004,-inf,6.464588303689961,3.6375861597263857
265,1,45,8,2,-1.0,2,2,1,2.7,2.0,8,25.0,1,309.0,0,2,44.0,7.202661196523238,5.583496308781699,2.1972245773362196,1.0986122886681098,-inf,5.736572297479192,3.8066624897703196
511,3,72,20,16,-1.0,2,2,1,10.4,2.0,8,68.0,1,612.0,0,3,101.0,7.784889295655098,6.238324625039508,3.044522437723423,2.833213344056216,-inf,6.418364935936212,4.624972813284271
292,15,187,19,3,-1.0,2,2,1,4.1,2.0,7,12.0,1,318.0,0,1,26.0,7.70796153183549,5.680172609017068,2.995732273553991,1.3862943611198906,-inf,5.765191102784844,3.295836866004329
615,1,50,3,3,-1.0,2,2,4,19.3,2.0,8,53.0,1,675.0,0,5,60.0,7.039660349862076,6.423246963533519,1.3862943611198906,1.3862943611198906,-inf,6.516193076042964,4.110873864173311
960,12,28,29,20,11.0,1,1,3,21.0,2.0,1,46.0,1,1034.0,0,4,74.0,8.464003362902119,6.8679744089702925,3.4011973816621555,3.044522437723423,2.4849066497880004,6.942156705699469,4.31748811353631
1002,6,153,13,12,-1.0,2,2,3,20.4,2.0,1,50.0,1,1052.0,0,5,50.0,7.929846429742503,6.910750787961936,2.6390573296152584,2.5649493574615367,-inf,6.959398512133975,3.9318256327243257
636,15,200,25,8,-1.0,1,1,4,13.7,-1.0,6,27.0,1,695.0,0,4,59.0,8.284251797621916,6.456769655572163,3.258096538021482,2.1972245773362196,-inf,6.54534966033442,4.0943445622221
1468,2,181,24,23,-1.0,1,1,1,5.1,2.0,5,39.0,1,1822.0,0,1,354.0,8.696175846944678,7.292337176173877,3.2188758248682006,3.1780538303479458,-inf,7.508238774678663,5.872117789475416
959,16,192,12,12,14.0,2,2,3,19.5,2.0,7,41.0,1,1023.0,0,5,64.0,8.543445562560303,6.866933284461882,2.5649493574615367,2.5649493574615367,2.70805020110221,6.931471805599453,4.174387269895637
