DSPT_REQ_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,FCLT_PLC_SCLSF_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM,golden_time_under_50min,arrival_time_diff,is_night,month_rcpt,dispatch_time_diff,FIRE_SUPESN_HR_log,DSPT_REQ_HR_log,FRSTN_GRNDS_DSTNC_log,CNTR_GRNDS_DSTNC_log,LFDAU_GRNDS_DSTNC_log,arrival_time_diff_log,dispatch_time_diff_log
241,13,163,34,4,-1.0,2,2,1,11.8,2.0,5,27.0,1,301.0,0,2,60.0,8.431635303054591,5.488937726156687,3.5553480614894135,1.6094379124341003,-inf,5.71042701737487,4.110873864173311
360,0,135,9,9,4.0,2,2,1,23.4,2.0,4,52.0,1,431.0,0,7,71.0,8.490438454107418,5.8888779583328805,2.302585092994046,2.302585092994046,1.6094379124341003,6.068425588244111,4.276666119016055
1227,3,15,15,15,15.0,2,2,2,8.4,2.0,3,24.0,1,1352.0,0,1,125.0,8.452547997922705,7.113142108707088,2.772588722239781,2.772588722239781,2.772588722239781,7.210079628170788,4.836281906951478
592,15,200,27,6,-1.0,0,0,1,10.7,2.0,3,29.0,1,660.0,0,3,68.0,8.343077871169383,6.385194398997726,3.332204510175204,1.9459101490553132,-inf,6.493753839851686,4.23410650459726
467,1,97,4,3,-1.0,1,1,3,23.8,2.0,2,70.0,1,538.0,0,8,71.0,6.630683385642372,6.148468295917647,1.6094379124341003,1.3862943611198906,-inf,6.289715570908998,4.276666119016055
537,12,166,38,23,6.0,2,2,3,16.0,2.0,7,60.0,1,615.0,0,11,78.0,8.101980731853192,6.2878585601617845,3.6635616461296463,3.1780538303479458,1.9459101490553132,6.423246963533519,4.3694478524670215
243,8,68,7,2,-1.0,1,1,3,16.5,2.0,7,48.0,1,375.0,1,11,132.0,7.462214939768189,5.497168225293202,2.0794415416798357,1.0986122886681098,-inf,5.929589143389895,4.890349128221754
780,1,96,10,7,-1.0,2,2,1,12.5,2.0,7,20.0,1,824.0,0,3,44.0,7.207118856207756,6.660575149839686,2.3978952727983707,2.0794415416798357,-inf,6.715383386334681,3.8066624897703196
240,15,200,10,2,-1.0,2,2,4,3.5,2.0,3,36.0,1,278.0,0,1,38.0,7.866338923046544,5.484796933490655,2.3978952727983707,1.0986122886681098,-inf,5.631211781821365,3.6635616461296463
1005,2,184,12,5,-1.0,0,0,2,11.4,2.0,7,0.0,1,1033.0,0,3,28.0,7.2633296174768365,6.913737350659685,2.5649493574615367,1.791759469228055,-inf,6.9411900550683745,3.367295829986474
